ID,IDCanton,Nombre
1,1,"Hospital                                          "
2,1,"Zapote                                            "
3,1,"San Francisco De Dos Rios                         "
4,1,"Uruca                                             "
5,1,"Mata Redonda                                      "
6,1,"Pavas                                             "
7,1,"Hatillo                                           "
8,1,"San Sebastian                                     "
9,1,"La Caja                                           "
10,1,"Paso Ancho Sur                                    "
11,1,"Carmen                                            "
12,1,"Barrio Mexico                                     "
13,1,"Catedral                                          "
14,1,"Corazon De Jesus                                  "
15,1,"Aranjuez                                          "
16,1,"Pitahaya                                          "
17,1,"Cristo Rey                                        "
18,1,"Omar Dengo                                        "
19,1,"San Bosco                                         "
20,1,"Gonzalez Viquez                                   "
21,1,"Naciones Unidas                                   "
22,1,"Barrio Lujan                                      "
23,1,"Paso Ancho Norte                                  "
24,1,"Sagrada Familia                                   "
25,1,"Rincon Grande                                     "
26,1,"Maria Reina                                       "
27,1,"Villa Esperanza                                   "
28,1,"Rositer Carballo (Las Brisas)                     "
29,1,"C.P. Cristo Rey                                   "
30,1,"La Carpio                                         "
31,1,"Cordoba                                           "
32,1,"Santa Marta                                       "
33,1,"Peregrina (Invu)                                  "
34,1,"Perpetuo Socorro                                  "
35,1,"Invu # 8                                          "
36,1,"Colonia 15 De Setiembre                           "
37,1,"Colonia Kennedy                                   "
38,2,"Escazu                                            "
39,2,"San Antonio                                       "
40,2,"San Rafael                                        "
41,2,"Bebedero O San Francisco                          "
42,2,"Guachipelin (San Gabriel)                         "
43,2,"Carmen (Chiverral)                                "
44,2,"Belo Horizonte Norte                              "
45,3,"Desamparados                                      "
46,3,"San Miguel                                        "
47,3,"Jerico                                            "
48,3,"Higuito                                           "
49,3,"San Juan De Dios                                  "
50,3,"San Rafael Arriba                                 "
51,3,"San Rafael Abajo                                  "
52,3,"San Antonio                                       "
53,3,"Frailes                                           "
54,3,"Bustamante O Alcira                               "
55,3,"Patarra                                           "
56,3,"San Cristobal Sur                                 "
57,3,"San Cristobal Norte                               "
58,3,"Rosario                                           "
59,3,"Guadarrama                                        "
60,3,"La Joya                                           "
61,3,"Fatima De Damas                                   "
62,3,"Calle Fallas                                      "
63,3,"Gravilias                                         "
64,3,"Pacaya                                            "
65,3,"El Llano                                          "
66,3,"Manzano (Manzanillo)                              "
67,3,"Guatuso                                           "
68,3,"Trinidad (Parte Este)                             "
69,3,"Cristo Rey                                        "
70,3,"Los Guido                                         "
71,3,"Las Lomas                                         "
72,3,"San Jeronimo                                      "
73,3,"Violeta (Rincon Morales)                          "
74,3,"San Lorenzo                                       "
75,3,"Valencia                                          "
76,3,"El Porvenir                                       "
77,3,"La Capri                                          "
78,3,"C.P. San Rafael Arriba                            "
79,3,"Empalme Arriba Guaria(Parte Oeste)                "
80,3,"H.A. Ofelia Carvajal De Naranjo                   "
81,3,"H.A. San Cayetano                                 "
82,3,"Llano Bonito                                      "
83,3,"Chirogres                                         "
84,4,"Santiago                                          "
85,4,"Pozos                                             "
86,4,"Mercedes Sur                                      "
87,4,"Mercedes Norte                                    "
88,4,"Bocana                                            "
89,4,"Jilgueral                                         "
90,4,"Tufares                                           "
91,4,"Salitrales                                        "
92,4,"Alto La Palma                                     "
93,4,"Barbacoas (San Isidro)                            "
94,4,"Piedades                                          "
95,4,"San Juan                                          "
96,4,"Grifo Alto                                        "
